Apurimac.Linea.Base.2012,TOTAL.Evaluacion.2015,TOTAL.Linea.Base.2012,Caracteristica.seleccionada,Arequipa.Linea.Base.2012,Arequipa.Evaluacion.2015,Puno.Linea.Base.2012,Puno.Evaluacion.2015,Cusco.Linea.Base.2012,Grupo.Control,Apurimac.Evaluacion.2015,Cusco.Evaluacion.2015,timestamp,length
193,"",753,Nº de Familias,198,"",166,"",196,200,"","",,
6334.968912,7657.861886,7396.387782,Total Ingresos Otras actividades,10522.37374,13958.43434,7240.656627,2780.60241,5415.571429,6417.2,5488.626943,7559.770408,,
"","","",Familias con ingresos por Otras Actividades,"","","","","","","","",,
178.8445596,718.873838,802.8512616,A. Ingreso por Negocio independiente  (especificar tipo,1745.454545,1859.747475,676.5060241,394.5783133,572.0918367,780.1,205.388601,346.6428571,,
26,72,61,Tienda comercial (Nfam),25,30,6,11,4,30,23,8,,
122.357513,326.1088977,280.9229748,Tienda comercial,822.2222222,961.5151515,23.61445783,31.74698795,108.1632653,358.1,121.2435233,135.255102,,
1,19,16,Puesto de comidas o bebidas (Nfam),11,11,1,1,3,"",2,5,,
4.14507772,76.75962815,66.24169987,Puesto de comidas o bebidas,221.7171717,240.1515152,2.409638554,3.614457831,24.3877551,"",7.772020725,41.58163265,,
0,28,46,compra-vta ganado (Nfam),1,1,24,8,21,39,5,14,,
0,26.2310757,122.8286853,compra-vta ganado,2.525252525,2.525252525,328.6144578,31.02409639,191.0204082,282.75,18.65284974,53.58163265,,
2,6,14,compra-vta animales menores (Nfam),1,1,3,1,8,9,0,4,,
18.66321244,19.58831341,39.13944223,compra-vta animales menores,8.080808081,9.090909091,30.12048193,2.108433735,98.31632653,71.75,0,64.28571429,,
0,0,1,De alimentos industriales (Nfam),0,0,1,0,0,2,0,0,,
0,0,2.390438247,De alimentos industriales,0,0,10.84337349,0,0,13,0,0,,
1,10,7,De ropa (Nfam),3,5,3,3,0,"",0,2,,
2.590673575,41.83266932,29.81407703,De ropa,87.87878788,119.1919192,27.40963855,29.51807229,0,"",0,15.30612245,,
1,52,56,Otro (Nfam),16,15,29,27,10,6,5,5,,
31.0880829,228.3532537,261.5139442,Otro,603.030303,527.2727273,253.4939759,296.5662651,150.2040816,54.5,57.72020725,36.63265306,,
247.1502591,227.4634794,220.9269588,B. Ingresos por Producción No agropecuaria (espefificar tipo),177.2727273,303.5353535,304.6626506,61.68674699,168.2857143,25.475,204.5595855,313.5714286,,
11,78,107,Tejidos (Nfam),1,1,60,24,35,10,15,38,,
17.87564767,49.07038513,84.75166003,Tejidos,2.525252525,2.525252525,259.4819277,36.08433735,85.68367347,11.975,15.95854922,139.6938776,,
2,4,4,Ceramicas (Nfam),0,0,1,0,1,"",3,1,,
8.808290155,2.231075697,2.841965471,Ceramicas,0,0,1.506024096,0,0.9693877551,"",8.29015544,0.4081632653,,
0,3,0,Panaderia (Nfam),0,1,0,1,0,"",1,0,,
0,34.46215139,0,Panaderia,0,6.060606061,0,4.518072289,0,"",124.3523316,0,,
2,5,3,Carpinteria (Nfam),0,2,0,1,1,"",0,2,,
15.54404145,40.1062417,25.23240372,Carpinteria,0,35.35353535,0,7.228915663,81.63265306,"",0,112.244898,,
